"country","region","region_code","start_date","end_date","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Ecuador","Galápagos","EC-W","2020-05-01","2020-05-31",2020,5,32300,1,0,4,-3,1,0,-9.28792569659443,-0.75
"Ecuador","Cotopaxi","EC-X","2020-01-01","2020-01-31",2020,1,482600,138,0,175.5,-37.5,138,0,-7.77041027766266,-0.213675213675214
"Ecuador","Cotopaxi","EC-X","2020-02-01","2020-02-29",2020,2,482600,156,0,137,19,156,0,3.93700787401575,0.138686131386861
"Ecuador","Cotopaxi","EC-X","2020-03-01","2020-03-31",2020,3,482600,146,0,152.5,-6.5,146,0,-1.34687111479486,-0.0426229508196722
"Ecuador","Cotopaxi","EC-X","2020-04-01","2020-04-30",2020,4,482600,151,0,146,5,151,0,1.03605470368835,0.0342465753424657
"Ecuador","Cotopaxi","EC-X","2020-05-01","2020-05-31",2020,5,482600,149,0,150,-1,149,0,-0.207210940737671,-0.00666666666666671
"Ecuador","Pastaza","EC-Y","2020-01-01","2020-01-31",2020,1,111300,34,0,23.5,10.5,34,0,9.43396226415094,0.446808510638298
"Ecuador","Pastaza","EC-Y","2020-02-01","2020-02-29",2020,2,111300,33,0,24.5,8.5,33,0,7.63701707097933,0.346938775510204
"Ecuador","Pastaza","EC-Y","2020-03-01","2020-03-31",2020,3,111300,22,0,26.5,-4.5,22,0,-4.04312668463612,-0.169811320754717
"Ecuador","Pastaza","EC-Y","2020-04-01","2020-04-30",2020,4,111300,22,0,25.5,-3.5,22,0,-3.14465408805031,-0.137254901960784
"Ecuador","Pastaza","EC-Y","2020-05-01","2020-05-31",2020,5,111300,16,0,19.5,-3.5,16,0,-3.14465408805031,-0.17948717948718
"Ecuador","Zamora Chinchipe","EC-Z","2020-01-01","2020-01-31",2020,1,117900,26,0,23,3,26,0,2.54452926208651,0.130434782608696
"Ecuador","Zamora Chinchipe","EC-Z","2020-02-01","2020-02-29",2020,2,117900,24,0,19,5,24,0,4.24088210347752,0.263157894736842
"Ecuador","Zamora Chinchipe","EC-Z","2020-03-01","2020-03-31",2020,3,117900,12,0,19.5,-7.5,12,0,-6.36132315521628,-0.384615384615385
"Ecuador","Zamora Chinchipe","EC-Z","2020-04-01","2020-04-30",2020,4,117900,19,0,22.5,-3.5,19,0,-2.96861747243427,-0.155555555555556
"Ecuador","Zamora Chinchipe","EC-Z","2020-05-01","2020-05-31",2020,5,117900,15,0,20,-5,15,0,-4.24088210347752,-0.25
"Indonesia","Jakarta","0","2020-01-01","2020-01-31",2020,1,10770000,3303,0,2717.5,585.5,3303,0,5.4363974001857,0.215455381784729
"Indonesia","Jakarta","0","2020-02-01","2020-02-29",2020,2,10770000,2744,0,2772.5,-28.5,2744,0,-0.264623955431755,-0.0102795311091073
"Indonesia","Jakarta","0","2020-03-01","2020-03-31",2020,3,10770000,4422,84,3046.5,1375.5,4338,0.779944289693593,12.7715877437326,0.45150172328902
"Indonesia","Jakarta","0","2020-04-01","2020-04-30",2020,4,10770000,4550,297,2967.5,1582.5,4253,2.75766016713092,14.6935933147632,0.533277169334457
"Indonesia","Jakarta","0","2020-05-01","2020-05-31",2020,5,10770000,4355,139,2848,1507,4216,1.29062209842154,13.9925719591458,0.529143258426966
"Peru","Peru","PE","2020-01-01","2020-01-31",2020,1,32824358,9664,0,8610.66666666667,1053.33333333333,9664,0,3.20899904069208,0.12232889439455
"Peru","Peru","PE","2020-02-01","2020-02-29",2020,2,32824358,9176,0,8107.33333333333,1068.66666666667,9176,0,3.25571231786671,0.131814817860373
"Peru","Peru","PE","2020-03-01","2020-03-31",2020,3,32824358,9417,30,8958,459,9387,0.0913955422981921,1.39835179716234,0.051239115874079
"Peru","Peru","PE","2020-04-01","2020-04-30",2020,4,32824358,12373,1021,8293,4080,11352,3.11049495621514,12.4297937525541,0.49198118895454
"Peru","Peru","PE","2020-05-01","2020-05-31",2020,5,32824358,23825,3455,8787,15038,20370,10.5257199546751,45.8135388360071,1.71139182883806
"Russia","Moscow","0","2020-01-01","2020-01-31",2020,1,12537954,10918,0,11358.2,-440.200000000001,10918,0,-3.51093966368038,-0.0387561409378248
"Russia","Moscow","0","2020-02-01","2020-02-29",2020,2,12537954,9873,0,9931.2,-58.2000000000007,9873,0,-0.464190568891868,-0.00586031899468353
"Russia","Moscow","0","2020-03-01","2020-03-31",2020,3,12537954,10250,0,10630.6,-380.6,10250,0,-3.0355829986296,-0.0358023065490189
"Russia","Moscow","0","2020-04-01","2020-04-30",2020,4,12537954,11846,611,10125.8,1720.2,11235,4.87320339506749,13.7199418661131,0.169882873451974
"Russia","Moscow","0","2020-05-01","2020-05-31",2020,5,12537954,15713,1866,9935.2,5777.8,13847,14.8828110232339,46.0824788478248,0.581548433851357
