country,region,region_code,start_date,end_date,year,week,population,total_deaths
Mexico,Mexico City,MX-CMX,13/05/2019,19/05/2019,2019,20,8918653,1430
Mexico,Mexico City,MX-CMX,20/05/2019,26/05/2019,2019,21,8918653,1430
Mexico,Mexico City,MX-CMX,27/05/2019,02/06/2019,2019,22,8918653,1437
Mexico,Mexico City,MX-CMX,03/06/2019,09/06/2019,2019,23,8918653,1315
Mexico,Mexico City,MX-CMX,10/06/2019,16/06/2019,2019,24,8918653,1442
Mexico,Mexico City,MX-CMX,17/06/2019,23/06/2019,2019,25,8918653,1391
Mexico,Mexico City,MX-CMX,24/06/2019,30/06/2019,2019,26,8918653,1310
Mexico,Mexico City,MX-CMX,01/07/2019,07/07/2019,2019,27,8918653,1385
Mexico,Mexico City,MX-CMX,08/07/2019,14/07/2019,2019,28,8918653,1280
Mexico,Mexico City,MX-CMX,15/07/2019,21/07/2019,2019,29,8918653,1307
Mexico,Mexico City,MX-CMX,22/07/2019,28/07/2019,2019,30,8918653,1329
Mexico,Mexico City,MX-CMX,29/07/2019,04/08/2019,2019,31,8918653,1400
Mexico,Mexico City,MX-CMX,05/08/2019,11/08/2019,2019,32,8918653,1409
Mexico,Mexico City,MX-CMX,12/08/2019,18/08/2019,2019,33,8918653,1468
Mexico,Mexico City,MX-CMX,19/08/2019,25/08/2019,2019,34,8918653,1266
Mexico,Mexico City,MX-CMX,26/08/2019,01/09/2019,2019,35,8918653,
Mexico,Mexico City,MX-CMX,02/09/2019,08/09/2019,2019,36,8918653,
Mexico,Mexico City,MX-CMX,09/09/2019,15/09/2019,2019,37,8918653,
Mexico,Mexico City,MX-CMX,16/09/2019,22/09/2019,2019,38,8918653,
Mexico,Mexico City,MX-CMX,23/09/2019,29/09/2019,2019,39,8918653,
Mexico,Mexico City,MX-CMX,30/09/2019,06/10/2019,2019,40,8918653,
Mexico,Mexico City,MX-CMX,07/10/2019,13/10/2019,2019,41,8918653,
Mexico,Mexico City,MX-CMX,14/10/2019,20/10/2019,2019,42,8918653,
Mexico,Mexico City,MX-CMX,21/10/2019,27/10/2019,2019,43,8918653,
Mexico,Mexico City,MX-CMX,28/10/2019,03/11/2019,2019,44,8918653,
Mexico,Mexico City,MX-CMX,04/11/2019,10/11/2019,2019,45,8918653,
Mexico,Mexico City,MX-CMX,11/11/2019,17/11/2019,2019,46,8918653,
Mexico,Mexico City,MX-CMX,18/11/2019,24/11/2019,2019,47,8918653,
Mexico,Mexico City,MX-CMX,25/11/2019,01/12/2019,2019,48,8918653,
Mexico,Mexico City,MX-CMX,02/12/2019,08/12/2019,2019,49,8918653,
Mexico,Mexico City,MX-CMX,09/12/2019,15/12/2019,2019,50,8918653,
Mexico,Mexico City,MX-CMX,16/12/2019,22/12/2019,2019,51,8918653,
Mexico,Mexico City,MX-CMX,23/12/2019,29/12/2019,2019,52,8918653,
Mexico,Mexico City,MX-CMX,30/12/2019,05/01/2020,2020,1,8918653,
Mexico,Mexico City,MX-CMX,06/01/2020,12/01/2020,2020,2,8918653,
Mexico,Mexico City,MX-CMX,13/01/2020,19/01/2020,2020,3,8918653,
Mexico,Mexico City,MX-CMX,20/01/2020,26/01/2020,2020,4,8918653,
Mexico,Mexico City,MX-CMX,27/01/2020,02/02/2020,2020,5,8918653,
