date,object_id,cod_istatn,nome_com,nome_pro,positivi,deceduti,totale
2020-04-09,303,03019039,CUMIGNANO SUL NAVIGLIO,CREMONA,6,0,6
2020-04-09,304,03108042,SULBIATE,MONZA E DELLA BRIANZA,11,0,11
2020-04-09,305,03012077,GOLASECCA,VARESE,3,1,4
2020-04-09,306,03098027,GALGAGNANO,LODI,8,4,12
2020-04-09,307,03016172,PONTIROLO NUOVO,BERGAMO,29,8,37
2020-04-09,308,03013178,PEGLIO,COMO,1,0,1
2020-04-09,309,03015114,INZAGO,MILANO,72,7,79
2020-04-09,310,03012044,CASTELSEPRIO,VARESE,0,1,1
2020-04-09,311,03019069,PESCAROLO ED UNITI,CREMONA,15,2,17
2020-04-09,312,03098006,BREMBIO,LODI,16,8,24
2020-04-09,313,03019097,SONCINO,CREMONA,60,11,71
2020-04-09,314,03018128,ROMAGNESE,PAVIA,7,2,9
2020-04-09,316,03108029,MACHERIO,MONZA E DELLA BRIANZA,17,8,25
2020-04-09,317,03016159,PARZANICA,BERGAMO,1,0,1
2020-04-09,318,03019021,CASALMAGGIORE,CREMONA,79,18,97
2020-04-09,319,03014072,VALDISOTTO,SONDRIO,14,2,16
2020-04-09,320,03013183,PIANELLO DEL LARIO,COMO,0,3,3
2020-04-09,321,03014025,DAZIO,SONDRIO,2,0,2
2020-04-09,322,03017063,CORTENO GOLGI,BRESCIA,14,2,16
2020-04-09,323,03012015,BISUSCHIO,VARESE,3,1,4
2020-04-09,326,03018123,ROBBIO,PAVIA,11,5,16
2020-04-09,327,03016144,NEMBRO,BERGAMO,130,83,213
2020-04-09,328,03014004,APRICA,SONDRIO,2,3,5
2020-04-09,331,03017074,GARDONE RIVIERA,BRESCIA,19,2,21
2020-04-09,332,03016057,CARVICO,BERGAMO,16,13,29
2020-04-09,333,03013100,FENEGRO`,COMO,4,0,4
2020-04-09,334,03016194,SCANZOROSCIATE,BERGAMO,58,21,79
2020-04-09,324,03015110,GREZZAGO,MILANO,9,3,12
2020-04-09,325,03017001,ACQUAFREDDA,BRESCIA,13,7,20
2020-04-09,335,03097049,MISSAGLIA,LECCO,20,8,28
2020-04-09,336,03108047,VEDUGGIO CON COLZANO,MONZA E DELLA BRIANZA,23,3,26
2020-04-09,337,03016147,OLTRESSENDA ALTA,BERGAMO,1,0,1
2020-04-09,278,03013250,BELLAGIO,COMO,12,4,16
2020-04-09,279,03019006,BONEMERSE,CREMONA,32,3,35
2020-04-09,280,03015131,MAGNAGO,MILANO,12,3,15
2020-04-09,281,03019044,FORMIGARA,CREMONA,5,2,7
2020-04-09,282,03016072,CHIGNOLO D`ISOLA,BERGAMO,17,8,25
2020-04-09,283,03018119,REA,PAVIA,1,0,1
2020-04-09,285,03013223,TORNO,COMO,5,2,7
2020-04-09,286,03012105,MORAZZONE,VARESE,4,1,5
2020-04-09,287,03013010,APPIANO GENTILE,COMO,8,2,10
2020-04-09,289,03018027,CANDIA LOMELLINA,PAVIA,5,3,8
2020-04-09,290,03018111,PIETRA DE` GIORGI,PAVIA,7,0,7
2020-04-09,292,03017191,TREVISO BRESCIANO,BRESCIA,6,1,7
2020-04-09,293,03014054,PRATA CAMPORTACCIO,SONDRIO,3,1,4
2020-04-09,342,03016096,FARA GERA D`ADDA,BERGAMO,25,8,33
2020-04-09,343,03017175,SAVIORE DELL`ADAMELLO,BRESCIA,6,1,7
2020-04-09,345,03020037,MOTTEGGIANA,MANTOVA,5,1,6
2020-04-09,346,03020053,ROVERBELLA,MANTOVA,11,3,14
2020-04-09,347,03012103,MONTEGRINO VALTRAVAGLIA,VARESE,1,1,2
2020-04-09,348,03018159,TORRE D`ISOLA,PAVIA,10,0,10
2020-04-09,349,03015113,INVERUNO,MILANO,39,7,46
2020-04-09,350,03019015,CAPRALBA,CREMONA,8,4,12
2020-04-09,351,03108005,BARLASSINA,MONZA E DELLA BRIANZA,14,2,16
2020-04-09,352,03016078,COLERE,BERGAMO,10,3,13
2020-04-09,353,03098061,ZELO BUON PERSICO,LODI,22,7,29
2020-04-09,354,03018088,MEDE,PAVIA,11,3,14
2020-04-09,357,03016099,FINO DEL MONTE,BERGAMO,5,5,10
2020-04-09,355,03019054,IZANO,CREMONA,19,1,20
2020-04-09,356,03017116,MUSCOLINE,BRESCIA,11,1,12
2020-04-09,456,03108033,MONZA,MONZA E DELLA BRIANZA,554,89,643
2020-04-09,457,03016246,ZOGNO,BERGAMO,102,35,137
2020-04-09,458,03018141,SANT`ALESSIO CON VIALONE,PAVIA,3,1,4
2020-04-09,459,03016227,VALNEGRA,BERGAMO,3,0,3
2020-04-09,460,03108011,BRIOSCO,MONZA E DELLA BRIANZA,11,3,14
2020-04-09,461,03097074,SANTA MARIA HOE`,LECCO,11,2,13
2020-04-09,359,03017105,MARMENTINO,BRESCIA,2,0,2
2020-04-09,360,03017017,BERZO INFERIORE,BRESCIA,14,1,15
2020-04-09,361,03098013,CASTELNUOVO BOCCA D`ADDA,LODI,28,7,35
2020-04-09,362,03015071,CERRO AL LAMBRO,MILANO,16,1,17
2020-04-09,363,03016081,COMUN NUOVO,BERGAMO,18,7,25
2020-04-09,364,03017131,PAISCO LOVENO,BRESCIA,2,0,2
2020-04-09,365,03016182,ROGNO,BERGAMO,26,9,35
2020-04-09,366,03013222,TAVERNERIO,COMO,18,2,20
2020-04-09,368,03016146,OLTRE IL COLLE,BERGAMO,8,2,10
2020-04-09,369,03016090,CUSIO,BERGAMO,2,0,2
2020-04-09,370,03016177,PUMENENGO,BERGAMO,10,3,13
2020-04-09,371,03097007,BARZIO,LECCO,6,2,8
2020-04-09,372,03020051,RODIGO,MANTOVA,25,4,29
2020-04-09,373,03016043,CALCINATE,BERGAMO,34,9,43
2020-04-09,374,03020042,POGGIO RUSCO,MANTOVA,28,6,34
2020-04-09,375,03015072,CERRO MAGGIORE,MILANO,46,4,50
2020-04-09,376,03016214,TORRE BOLDONE,BERGAMO,72,34,106
2020-04-09,377,03019014,CAPPELLA DE` PICENARDI,CREMONA,2,1,3
2020-04-09,378,03018147,SCALDASOLE,PAVIA,2,0,2
2020-04-09,379,03013242,VERTEMATE CON MINOPRIO,COMO,9,1,10
2020-04-09,380,03020024,GAZOLDO DEGLI IPPOLITI,MANTOVA,16,4,20
2020-04-09,381,03016225,VALGOGLIO,BERGAMO,3,2,5
2020-04-09,382,03014074,VAL MASINO,SONDRIO,1,1,2
2020-04-09,383,03014024,COSIO VALTELLINO,SONDRIO,12,2,14
2020-04-09,384,03012085,JERAGO CON ORAGO,VARESE,9,0,9
2020-04-09,385,03016053,CARAVAGGIO,BERGAMO,84,35,119
2020-04-09,386,03017044,CASTO,BRESCIA,13,3,16
2020-04-09,387,03018033,CASEI GEROLA,PAVIA,14,9,23
2020-04-09,388,03012095,MALGESSO,VARESE,2,0,2
2020-04-09,390,03017018,BIENNO,BRESCIA,31,5,36
2020-04-09,391,03015115,LACCHIARELLA,MILANO,14,4,18
2020-04-09,392,03097010,BRIVIO,LECCO,45,10,55
2020-04-09,389,03108025,LAZZATE,MONZA E DELLA BRIANZA,21,3,24
2020-04-09,394,03018181,VISTARINO,PAVIA,5,0,5
2020-04-09,395,03108026,LESMO,MONZA E DELLA BRIANZA,38,4,42
2020-04-09,396,03016216,TORRE DE` ROVERI,BERGAMO,13,2,15
2020-04-09,397,03015219,TREZZANO ROSA,MILANO,15,2,17
2020-04-09,398,03016085,COSTA VALLE IMAGNA,BERGAMO,4,1,5
2020-04-09,399,03018020,BOSNASCO,PAVIA,3,0,3
2020-04-09,400,03014007,BERBENNO DI VALTELLINA,SONDRIO,16,0,16
2020-04-09,401,03108023,DESIO,MONZA E DELLA BRIANZA,127,14,141
2020-04-09,454,03016155,PALADINA,BERGAMO,41,20,61
2020-04-09,462,03098032,LODI VECCHIO,LODI,38,13,51
2020-04-09,463,03098014,CASTIGLIONE D`ADDA,LODI,139,48,187
2020-04-09,464,03014010,BUGLIO IN MONTE,SONDRIO,2,0,2
2020-04-09,465,03013232,VALMOREA,COMO,5,2,7
2020-04-09,466,03018101,MORNICO LOSANA,PAVIA,1,1,2
2020-04-09,467,03019111,VAIANO CREMASCO,CREMONA,24,10,34
2020-04-09,402,03017056,COCCAGLIO,BRESCIA,67,16,83
